,Job Id,Experience,Qualifications,Salary Range,location,Country,latitude,longitude,Work Type,Company Size,Job Posting Date,Preference,Contact Person,Contact,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Sector,Industry,City,State,Zip,Website,Ticker,CEO
330843,176353085209045,4 to 12 Years,B.Com,$60K-$84K,Madrid,Spain,40.4637,-3.7492,Temporary,74724,2022-11-06,Female,Nicholas Thomas,001-557-300-8051x1498,Data Scientist,Data Engineer,Internships.com,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes.","{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}","Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing","Design, build, and maintain data pipelines and ETL (Extract, Transform, Load) processes. Ensure data accessibility and availability for analytics and reporting. Collaborate with data scientists and analysts.",Cheniere Energy,Energy,Pipelines,Houston,Texas,77002,www.cheniere.com,LNG,Jack A. Fusco
30621,2619316010930375,0 to 12 Years,BA,$64K-$81K,Ljubljana,Slovenia,46.1512,14.9955,Temporary,88977,2021-09-23,Male,Robert Vance,6236250709,Customer Service Representative,Live Chat Support Agent,Glassdoor,"A Live Chat Support Agent provides customer support through live chat channels, addressing inquiries, troubleshooting issues, and offering timely solutions.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}",Live chat support Online customer communication Problem resolution,Offer real-time customer support through live chat or messaging platforms. Respond to customer inquiries promptly and accurately. Multitask and manage chat queues.,Deere,Industrial,Construction and Farm Machinery,Moline,Illinois,61265,www.deere.com,DE,John C. May
850049,2873600074915676,0 to 8 Years,MCA,$61K-$101K,Juba,South Sudan,6.877,31.307,Part-Time,32478,2022-02-28,Male,Tyler Brown,831.285.7608x8377,Sales Representative,Outside Sales Representative,The Muse,"Outside Sales Representatives meet with potential customers in person to sell products or services. They build relationships, identify sales opportunities, and provide product information and solutions to meet the needs of clients and achieve sales goals.","{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}",Sales prospecting and networking Face-to-face sales meetings Territory management Consultative selling Relationship building Sales tracking and reporting,"Meet potential clients in person, attend industry events, and build and maintain relationships to drive sales. Conduct product demonstrations and presentations. Negotiate contracts and pricing.",Petrofac,Oil and Gas Services,Energy - Oil & Gas Services,London,England,SW1E 5JY,https://www.petrofac.com/,PFC,Ayman Asfari
309728,1003434347636966,0 to 11 Years,BCA,$62K-$81K,Ankara,Turkey,38.9637,35.2433,Contract,45612,2022-04-03,Female,Andrew Williams,692-358-2083x552,UX/UI Designer,User Experience Designer,The Muse,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",Design and improve user experiences (UX) by creating intuitive and user-friendly interfaces for websites and applications. Conduct user research and usability testing. Collaborate with stakeholders to gather and incorporate feedback.,Nvidia,Technology,Semiconductors and Other Electronic Components,Santa Clara,California,95051,www.nvidia.com,NVDA,Jen-Hsun Huang
819171,712453977420681,1 to 15 Years,MBA,$64K-$83K,City of Port Louis,Mauritius,-20.3484,57.5522,Contract,28060,2023-07-03,Both,Jerry Carter,7929928523,Personal Assistant,Personal Secretary,FlexJobs,"Personal Secretaries provide administrative support to individuals or executives. They manage schedules, handle correspondence, and assist with various tasks to ensure efficiency.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}",Administrative support Calendar management Communication skills Time management Organizational skills Confidentiality,"Act as a personal secretary, managing personal appointments and tasks. Handle correspondence and communication on behalf of the employer. Organize personal schedules and commitments.",Diamondback Energy,Energy,"Mining, Crude-Oil Production",Midland,Texas,79701,www.diamondbackenergy.com,FANG,Travis D. Stice
210010,2034853455614863,5 to 14 Years,M.Com,$65K-$117K,Libreville,Gabon,-0.8037,11.6094,Temporary,92195,2022-03-16,Male,Anthony Edwards,001-959-658-8594,Network Technician,Network Security Specialist,USAJOBS,"Network Security Specialists focus on network security. They implement security measures, monitor for threats, and respond to security incidents to protect network integrity.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}",Network security Cybersecurity Intrusion detection Security analysis Firewall management,"Focus on network security, implementing measures to protect against cyber threats. Monitor network traffic for anomalies and security breaches. Conduct security audits and recommend improvements.",Gree Electric Appliances,Electronics,Electronics & Appliances,Zhuhai,,,http://www.gree.com/,651,Dong Mingzhu
1039994,417569146133629,1 to 14 Years,MBA,$60K-$101K,Zagreb,Croatia,45.1,15.2,Contract,130299,2023-08-11,Female,Dylan Griffin,+1-300-992-9533x312,Marketing Director,Brand Director,FlexJobs,"Brand Directors oversee brand management and strategy. They ensure brand consistency, guide marketing initiatives, and work to enhance brand perception and recognition.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}",Brand strategy Brand development Creative direction Brand management Market research,"Manage and strengthen brand identity, ensuring consistent messaging and visual identity. Develop brand campaigns and positioning. Monitor brand performance and reputation.",Sinochem Group,Chemicals and Energy,Chemicals,Beijing,,,http://www.sinochem.com/,,Zhang Wei
1184178,2523557074291432,0 to 9 Years,BBA,$65K-$108K,Willemstad,Curacao,12.1696,-68.99,Temporary,17327,2022-05-12,Male,David Kim,662-998-4546x897,Brand Ambassador,Product Demonstrator,Idealist,"Product Demonstrators showcase products to potential customers. They explain features, answer questions, and help customers make informed purchase decisions.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}",Product knowledge Demonstrating skills Sales techniques Customer engagement Communication skills,Demonstrate and showcase products at retail locations or events. Highlight product features and benefits to attract potential customers. Answer questions and encourage product trials.,BMW Group,Automotive,Automotive,Munich,,,www.bmwgroup.com,BMW,Oliver Zipse
158230,2844209330015344,3 to 10 Years,M.Com,$61K-$82K,Dakar,Senegal,14.4974,-14.4524,Part-Time,94742,2021-10-22,Both,Jeffrey Avery,487-560-4399,Human Resources Manager,Employee Relations Specialist,ZipRecruiter,"Employee Relations Specialists focus on maintaining positive relationships between employees and the organization. They address workplace issues, conduct investigations, mediate conflicts, and promote a healthy and productive work environment.","{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}",Employee conflict resolution HR compliance Employee engagement Communication skills,"Address employee concerns, resolve conflicts, and implement HR policies and programs to foster a positive work environment. Conduct investigations and recommend corrective actions. Promote employee engagement and satisfaction.",Avantor,Health Care,"Scientific, Photographic and Control Equipment",Radnor,Pennsylvania,19087,www.avantorsciences.com,AVTR,Michael Stubblefield
901384,2594814733871289,5 to 15 Years,M.Tech,$63K-$108K,Stockholm,Sweden,60.1282,18.6435,Part-Time,93831,2023-07-13,Both,Nichole Huff,454-227-4682,Marketing Coordinator,Marketing Specialist,Stack Overflow Jobs,"Marketing Specialists develop and implement marketing campaigns, analyze market trends, and promote products or services to target audiences.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}",Market research and analysis Content creation and copywriting Social media management SEO and digital marketing Marketing automation tools proficiency,Assist in the development and execution of marketing campaigns and strategies. Create marketing collateral and content. Monitor and report on marketing performance metrics.,St. James's Place plc,Financial Services,Financial Services - Investment,Cirencester,,,www.sjp.co.uk,STJ.L,Andrew Croft
1036041,801443444437001,2 to 10 Years,PhD,$56K-$128K,Pristina,Kosovo,42.6026,20.903,Contract,43233,2023-04-13,Female,Michael Porter,(705)257-9535x794,Software Tester,Quality Assurance Analyst,CareerBuilder,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing","Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues.",BP (British Petroleum),Oil & Gas,Oil and Gas,London,,,www.bp.com,BP,Bernard Looney
912536,112015452663712,5 to 10 Years,PhD,$60K-$113K,Buenos Aires,Argentina,-38.4161,-63.6167,Temporary,67778,2022-01-24,Male,Nancy Barr,+1-750-233-2444x9971,Business Analyst,IT Business Analyst,ZipRecruiter,"IT Business Analysts bridge the gap between business needs and technology solutions. They analyze business processes, gather requirements, and create solutions that align with organizational goals.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Business process analysis Requirement gathering Data analysis Communication skills,"Analyze business processes, gather requirements, and recommend solutions to enhance efficiency and productivity. Create business process models and documentation. Collaborate with IT teams to implement solutions.","The Goldman Sachs Group, Inc.",Financial Services/Investment Banking,Financial Services - Investment Banking,New York,NY,10004,https://www.goldmansachs.com/,GS,David Solomon
959296,1894600444686583,2 to 11 Years,M.Com,$60K-$94K,Sarajevo,Bosnia and Herzegovina,43.9159,17.6791,Part-Time,84688,2022-12-18,Both,William Herring,001-967-762-0259x631,Software Tester,Quality Assurance Analyst,The Muse,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing","Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues.",American International Group,Insurance,Insurance: Property and Casualty (Stock),New York,New York,10020,www.aig.com,AIG,Peter S. Zaffino
1545616,81128950394988,4 to 9 Years,MCA,$55K-$109K,Doha,Qatar,25.3548,51.1839,Intern,12930,2022-12-28,Male,Tara Torres,+1-705-622-1508x4496,Registered Nurse,Staff Nurse,ZipRecruiter,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}",Nursing care Patient assessment Medical knowledge,"Provide direct patient care, including assessments, medication administration, and wound care. Monitor patient conditions and vital signs. Collaborate with healthcare teams to develop care plans.",Meta Platforms,Technology,Internet Services and Retailing,Menlo Park,California,94025,www.fb.com,META,Mark Zuckerberg
239537,1359242475178032,1 to 12 Years,BA,$60K-$103K,Hagatna,Guam,13.4443,144.7937,Contract,96956,2023-03-09,Male,Jason Ochoa,508-329-0851x538,Mechanical Engineer,HVAC Engineer,Monster,"HVAC Engineers specialize in heating, ventilation, and air conditioning systems, designing efficient HVAC solutions for buildings and facilities.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}",Knowledge of HVAC systems and equipment Mechanical engineering skills Problem-solving abilities AutoCAD proficiency HVAC design and installation expertise,"Specialize in heating, ventilation, and air conditioning (HVAC) systems design. Calculate HVAC load requirements and design energy-efficient systems. Ensure compliance with HVAC standards.",Halma,Technology and Safety,Electronics/Instrumentation,Amersham,,,www.halma.com,HLMA.L,Andrew Williams
1178104,1042660231334929,2 to 13 Years,BBA,$65K-$112K,"Washington, D.C.",USA,37.0902,-95.7129,Temporary,17142,2023-09-05,Female,Barbara Jones,858.468.7079,Veterinarian,Small Animal Veterinarian,Indeed,"A Small Animal Veterinarian provides medical care to small pets, such as dogs and cats. They diagnose illnesses, perform surgeries, and advise pet owners on healthcare practices.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}",Veterinary medicine Small animal care and surgery Animal diagnostics Preventive medicine Client communication Surgical skills Radiology Anesthesia Laboratory diagnostics Compassion and empathy Problem-solving Attention to detail,"Diagnose and treat illnesses and injuries in domestic pets, such as dogs and cats. Perform surgeries, vaccinations, and routine check-ups. Provide pet owners with medical advice and care plans.",Markel,Insurance,Insurance: Property and Casualty (Stock),Glen Allen,Virginia,23060,www.markel.com,MKL,Thomas S. Gayner
426550,954689326417086,4 to 15 Years,M.Tech,$63K-$105K,Bucharest,Romania,45.9432,24.9668,Full-Time,69773,2021-12-20,Both,Christina Acevedo,8074595253,UI Developer,UX/UI Designer,Glassdoor,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}",User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma,"Design user interfaces and experiences, focusing on usability and user-centered design principles. Create wireframes and prototypes. Conduct user testing and gather feedback for design improvements.",KeyCorp,Financial Services,Commercial Banks,Cleveland,Ohio,44114,www.key.com,KEY,Christopher M. Gorman
469785,1332373217245622,1 to 10 Years,B.Tech,$62K-$118K,Lima,Peru,-9.189967,-75.015152,Temporary,27360,2021-11-25,Both,Sara Villarreal,936.207.2427x01845,Wedding Planner,Wedding Consultant,Internships.com,"A Wedding Consultant assists couples in planning and coordinating their weddings, helping them with vendor selection, budget management, and ensuring a seamless wedding day experience.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Wedding planning Vendor coordination Event management,Offer expert advice and guidance to couples planning their weddings. Assist with wedding theme and design selection. Coordinate and negotiate with vendors.,SSE plc,Utilities,Utilities,"Perth, UK",,,www.sse.com,SSE,Alistair Phillips-Davies
948805,1760626474547038,3 to 14 Years,PhD,$65K-$93K,Tirana,Albania,41.1533,20.1683,Intern,101878,2021-11-10,Both,Daniel Robbins,001-339-237-2721x817,UX/UI Designer,User Experience Designer,Stack Overflow Jobs,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",Design and improve user experiences (UX) by creating intuitive and user-friendly interfaces for websites and applications. Conduct user research and usability testing. Collaborate with stakeholders to gather and incorporate feedback.,Synchrony Financial,Financial Services,Diversified Financials,Stamford,Connecticut,6902,www.synchrony.com,SYF,Brian D. Doubles
1552960,2390674110913549,1 to 13 Years,B.Tech,$58K-$85K,Tarawa,Kiribati,-3.3704,-168.734,Temporary,57486,2022-08-24,Male,Andrew Watson,734.687.4911,Procurement Manager,Procurement Analyst,Idealist,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.","{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}",Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen,Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting.,Ferguson plc,Construction and Engineering,Distribution/Wholesale,Newport News,VA,23602,www.fergusonplc.com,FERG.L,Kevin Murphy
617199,865104990273893,0 to 12 Years,MBA,$65K-$98K,Montevideo,Uruguay,-32.5228,-55.7658,Part-Time,103855,2023-09-04,Both,Emily Miller,(688)265-3340x8531,Account Manager,Sales Account Manager,Internships.com,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Account management Sales strategy Negotiation and closing skills,Manage sales accounts and ensure revenue growth. Identify cross-selling and upselling opportunities. Develop account strategies and forecasts.,Continental Resources,Energy,"Mining, Crude-Oil Production",Oklahoma City,Oklahoma,73102,www.clr.com,,Robert D. Lawler
1280191,153926211390599,5 to 13 Years,BA,$55K-$121K,Tripoli,Libya,26.3351,17.2283,Intern,103146,2022-06-18,Female,Stephen Robertson,837.815.8024x952,Event Planner,Event Coordinator,Dice,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Event planning Vendor coordination Budget management Marketing and promotion Logistics,"Plan and coordinate events, including logistics, vendor management, and timelines. Communicate with clients to understand event goals and preferences. Ensure smooth event execution.",Deutsche Pfandbriefbank AG,Banking,Banking & Financial Services,Unterschlei heim,,,www.pfandbriefbank.com,PBB,Andreas Arndt
1323513,945556275587455,2 to 15 Years,M.Com,$60K-$83K,Lisbon,Portugal,39.3999,-8.2245,Full-Time,44472,2022-08-20,Female,Keith Hernandez,(563)682-9176x46044,Systems Administrator,IT Support Specialist,The Muse,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,"Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Install and configure computer systems and software. Maintain IT documentation and knowledge base.",Jabil,Manufacturing,Semiconductors and Other Electronic Components,St. Petersburg,Florida,33716,www.jabil.com,JBL,Mark T. Mondello
384816,944545135771470,3 to 14 Years,M.Tech,$55K-$128K,Maseru,Lesotho,-29.6099,28.2336,Part-Time,25069,2023-03-11,Female,Kathleen Harmon,6045144485,Software Engineer,DevOps Engineer,Indeed,"DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}","Automation and scripting (e.g., Python, Bash) Continuous Integration/Continuous Deployment (CI/CD) Containerization (e.g., Docker, Kubernetes) Infrastructure as Code (e.g., Terraform, Ansible) Cloud platforms (e.g., AWS, Azure, GCP) Monitoring and troubleshooting skills","Configure and maintain continuous integration and deployment (CI/CD) pipelines, ensuring efficient software delivery. Automate and streamline development and deployment processes. Monitor and troubleshoot system issues.",Cairn Energy,Energy,Energy - Oil & Gas Exploration & Production,Edinburgh,Scotland,EH2 4NH,https://www.cairnenergy.com/,CNE,Simon Thomson
41502,1670117022752427,0 to 12 Years,BA,$65K-$81K,Port Vila,Vanuatu,-15.3767,166.9592,Contract,24434,2022-07-07,Male,Paul Hinton,001-966-497-4023,Software Tester,Quality Assurance Analyst,Stack Overflow Jobs,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing","Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues.",BlueScope Steel,Mining and Metals/Manufacturing,Manufacturing/Steel,Melbourne,VIC,3000,https://www.bluescope.com/,BSL,Mark Vassella
818802,981565677936565,1 to 12 Years,MCA,$59K-$125K,Dushanbe,Tajikistan,38.861,71.2761,Contract,128450,2022-01-03,Female,Matthew Murphy,650.684.6766,SEO Analyst,SEO Content Strategist,CareerBuilder,"As an SEO Content Strategist, your primary responsibility is to develop and execute content strategies that enhance our online presence. You will conduct keyword research, optimize website content, and collaborate with the marketing team to improve search engine rankings and drive organic traffic. Your role involves staying updated with SEO trends and implementing best practices to boost our websites visibility and engagement.","{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}",SEO (Search Engine Optimization) Content strategy Keyword research Content optimization Content planning Analytics and reporting,"Develop and execute SEO-focused content strategies, including keyword optimization and content planning. Collaborate with content creators and web developers for SEO enhancements. Analyze content performance for SEO improvements.",Fortescue Metals Group,Mining and Metals,Mining,East Perth,WA,6004,https://www.fmgl.com.au/,FMG,Elizabeth Gaines
1229508,2911456038122283,1 to 9 Years,M.Com,$63K-$111K,Andorra la Vella,Andorra,42.5063,1.5218,Intern,100454,2021-09-15,Male,Jessica Lane,(660)880-1046x2159,Project Coordinator,Construction Project Coordinator,USAJOBS,"Construction Project Coordinators assist in managing construction projects, handling documentation, budget tracking, and coordinating subcontractors.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}",Construction project management Building codes and regulations knowledge Budgeting and cost control Construction scheduling Contractor and subcontractor coordination,"Coordinate construction projects, including permits, subcontractors, and materials. Monitor project progress and timelines. Assist in budgeting and cost control.",Ball,Packaging,"Packaging, Containers",Westminster,Colorado,80021,www.ball.com,BALL,Dan Fisher
1530793,1908456276123795,3 to 9 Years,MCA,$61K-$92K,Freetown,Sierra Leone,8.4606,-11.7799,Contract,21543,2022-07-31,Both,Lauren Miller,721-280-8549x022,Graphic Designer,UI/UX Designer,Snagajob,"UI/UX Designers focus on creating user-friendly and visually appealing interfaces for digital products. They conduct user research, design wireframes and prototypes, and collaborate with development teams to ensure a seamless and enjoyable user experience.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}","User interface (UI) design User experience (UX) design Wireframing and prototyping tools (e.g., Sketch, Figma) Usability testing Information architecture Interaction design Mobile and responsive design",Focus on user interface (UI) and user experience (UX) design for websites and applications to enhance user engagement. Conduct user research and usability testing. Collaborate with developers to implement designs.,Ameren,Utilities,Utilities: Gas and Electric,St. Louis,Missouri,63103,www.ameren.com,AEE,Martin J. Lyons Jr.
356856,1887444050659126,1 to 10 Years,BBA,$59K-$109K,Islamabad,Pakistan,30.3753,69.3451,Part-Time,36893,2023-01-23,Male,Courtney Murray,(234)929-8075x23557,Executive Assistant,Office Manager,The Muse,"Office Managers oversee daily office operations, including supervising staff, managing facilities, and ensuring efficient workflow. They may also handle budgeting, resource allocation, and office policies.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations,"Oversee office operations, including facilities management and vendor relations. Manage office budgets and expenses. Coordinate office events and logistics.",Live Nation Entertainment,Entertainment,Entertainment,Beverly Hills,California,90210,www.livenationentertainment.com,LYV,Michael Rapino
1513563,1047833530317050,0 to 14 Years,BA,$57K-$130K,Kingston,Jamaica,18.1096,-77.2975,Full-Time,16076,2021-11-17,Male,Ann James,530.910.9286x4664,Urban Planner,Environmental Planner,Jobs2Careers,Environmental Planners assess and mitigate the impact of projects on the environment. They ensure compliance with environmental regulations and promote sustainable practices.,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}",Environmental regulations Ecosystem analysis Environmental impact assessments Sustainability planning Project management,Focus on environmental impact assessments and sustainable urban development. Analyze environmental regulations and recommend compliance measures. Promote green infrastructure and sustainability practices.,AT&T,Telecommunications,Telecommunications,Dallas,Texas,75202,www.att.com,T,John T. Stankey
850175,1180402184823802,2 to 10 Years,MBA,$65K-$82K,Basseterre,St. Kitts and Nevis,17.3578,-62.7829,Temporary,36863,2023-08-18,Male,Brittany Gonzalez,(559)777-0980,Structural Engineer,Bridge Engineer,Internships.com,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}",Bridge design Civil engineering Structural analysis AutoCAD proficiency Project management,Specialize in the design and maintenance of bridges and transportation structures. Conduct structural inspections and assessments. Develop repair and maintenance plans.,Computacenter,IT Services,Information Technology,Hatfield,England,AL10 9TW,https://www.computacenter.com/,CCC,Mike Norris
30442,1015227556600789,3 to 11 Years,BCA,$58K-$115K,City of Baghdad,Iraq,33.2232,43.6793,Intern,93937,2022-11-01,Both,Sharon Ross,+1-365-474-3891x714,Structural Engineer,Bridge Engineer,Monster,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Bridge design Civil engineering Structural analysis AutoCAD proficiency Project management,Specialize in the design and maintenance of bridges and transportation structures. Conduct structural inspections and assessments. Develop repair and maintenance plans.,United Breweries (UB),Beverages,Beverages,Bengaluru,Karnataka,560 001,www.unitedbreweries.com,UBL,Sunil D'Souza
795700,203981177941595,5 to 15 Years,B.Com,$55K-$119K,Belgrade,Serbia,44.0165,21.0059,Intern,106897,2022-04-21,Both,Mark Hall,481-314-8022,Dental Hygienist,Dental Public Health Hygienist,Snagajob,A Dental Public Health Hygienist works to improve oral health at the community level. They develop and implement public health programs and educate individuals on oral hygiene.,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}",Dental public health principles Community outreach and education Dental health program planning Epidemiology knowledge Public health regulations knowledge,"Focus on community oral health, conducting screenings and preventive dental programs. Promote oral health initiatives and awareness. Collaborate with public health agencies.",Hershey,Food & Confectionery,Food Consumer Products,Hershey,Pennsylvania,17033,www.thehersheycompany.com,HSY,Michele G. Buck
725823,2566978276192899,5 to 13 Years,B.Com,$55K-$87K,Lusaka,Zambia,-13.1339,27.8493,Intern,20809,2022-09-28,Female,Jon Contreras,497.919.3027,UX Researcher,Usability Analyst,ZipRecruiter,Evaluate and improve the usability of websites and applications through user testing and analysis.,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}",Usability evaluation User interface assessment Usability testing tools and techniques,Focus on usability testing of digital products and websites. Create test plans and scenarios. Gather and analyze usability data to identify areas for improvement.,Muthoot Finance,Financial Services,Financial Services,Kochi,KL,682 018,www.muthootfinance.com,MUTHOOT,George Alexander Muthoot
600251,1826978205417833,3 to 12 Years,M.Com,$62K-$118K,San Jose,Costa Rica,9.7489,-83.7534,Contract,17524,2023-03-21,Male,Aimee Ferguson,+1-877-293-3142x665,Project Coordinator,Construction Project Coordinator,Stack Overflow Jobs,"Construction Project Coordinators assist in managing construction projects, handling documentation, budget tracking, and coordinating subcontractors.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}",Construction project management Building codes and regulations knowledge Budgeting and cost control Construction scheduling Contractor and subcontractor coordination,"Coordinate construction projects, including permits, subcontractors, and materials. Monitor project progress and timelines. Assist in budgeting and cost control.",PVH,Apparel,Apparel,New York,New York,10017,www.pvh.com,PVH,Stefan Larsson
1512314,2930404857407717,0 to 9 Years,M.Tech,$58K-$91K,Seoul,"Korea, Rep.",35.9078,127.7669,Intern,86364,2022-04-20,Female,Michelle Jennings,001-903-834-1859x319,Digital Marketing Specialist,Email Marketing Specialist,Internships.com,"Email Marketing Specialists design and execute email marketing campaigns. They create email content, segment email lists, and analyze campaign performance to achieve marketing goals and engage subscribers.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}","Email marketing platforms (e.g., Mailchimp, Constant Contact) Email campaign creation and segmentation A/B testing and optimization Email deliverability and compliance Metrics tracking and analysis","Plan and execute email marketing campaigns, including creating email content and designs. Segment email lists and analyze email performance metrics. A/B test email campaigns for optimization.",IBM (International Business Machines Corporation),Technology/IT Services,Technology,Armonk,NY,10504,https://www.ibm.com/,IBM,Arvind Krishna
